X,Y,Population2030,Gridconnected-2012,Split,SA,MG,MINIMUMCOST,MINIMUMDISTANCE,DistancefromtheHVgrid(meters),Gridextensionsforthosegainingaccess,Urban/RuralSplit,Gainingaccesssettlements,Urbangainingaccesspopulation,Ruralgainingaccesspopulation,,,Urbangainingaccessinkm,Urbanpopulationgainingaccess,Urbangainingaccesssettlements,,GridUrbanPopulation,GridUrbanSettlements,MicroGridUrbanPopulation,MicroGridUrbanSettlements,,,,,,Split300,SA300,MG300,MINIMUMCOST300,MINIMUMDISTANCE300,,Split50,SA50,MG50,MINIMUMCOST50,MINIMUMDISTANCE50,,,GridUrbanPopulation,126761278,inhabitants
35.333333,8.766667,12650,0,Grid,,,0.183898946,15000,44971.97168,15000,Urban,1,12650,0,,,,,,,12650,1,0,0,,GRID,"126,877,292",96.31%,,Grid,,,0.183898946,15000,,Grid,,,0.216174253,0.216174253,,,,,
39.533333,10.9,20393,0,Grid,,,0.175529217,5000,9892.649018,5000,Urban,1,20393,0,,,,,,,20393,1,0,0,,MICROGRID,"3,729,647",2.83%,,Grid,,,0.175529217,5000,,Grid,,,0.199994178,0.199994178,,,,,
39.2,10.583333,10937,1,Grid,,,0,2500,7389.424518,0,Urban,0,0,0,,,,,,,10937,1,0,0,,STANDALONE,"1,132,641",0.86%,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37,14.233333,651,1,Grid,,,0,0,4665.055453,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.35,12.35,23781,0,Grid,,,0.176023113,7500,20008.75776,7500,Urban,1,23781,0,,,,,,,23781,1,0,0,,TOTAL,131739580,100.00%,,Grid,,,0.176023113,7500,,Grid,,,0.20098205,0.20098205,,,,,
35.366667,7.683333,4179,0,MicroGrid,,Diesel,0.317444629,17500,53507.53616,0,Urban,0,0,0,,,,,,,0,0,4179,1,,,,,,MicroGrid,,Diesel,0.317444629,17500,,StandAlone,Diesel,,0.357153371,0.8987,,,,,
36.4,9.116667,6314,1,Grid,,,0,2500,1463.399139,0,Urban,0,0,0,,,,,,,6314,1,0,0,,STANDALONE,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.666667,9.733333,7996,0,Grid,,,0.186977321,7500,14600.34838,7500,Urban,1,7996,0,,,,,,,7996,1,0,0,,,,,,Grid,,,0.186977321,7500,,Grid,,,0.223775542,0.223775542,,,,,
39.166667,11.483333,13368,0,Grid,,,0.179679045,5000,35013.19542,5000,Urban,1,13368,0,,,,,,,13368,1,0,0,,Diesel,"530,754",,,Grid,,,0.179679045,5000,,Grid,,,0.208589148,0.208589148,,,,,
39.6025,14.093889,14934,0,Grid,,,0.177733296,2500,9547.104246,2500,Urban,1,14934,0,,,,,,,14934,1,0,0,,PV,"601,887",,,Grid,,,0.177733296,2500,,Grid,,,0.204886476,0.204886476,,,,,
39.283333,12.066667,15662,0,Grid,,,0.17783133,5000,13488.15864,5000,Urban,1,15662,0,,,,,,,15662,1,0,0,,,,,,Grid,,,0.17783133,5000,,Grid,,,0.204389668,0.204389668,,,,,
39.566667,10.816667,17425,0,Grid,,,0.176487478,5000,20078.59347,5000,Urban,1,17425,0,,,,,,,17425,1,0,0,,,,,,Grid,,,0.176487478,5000,,Grid,,,0.20208289,0.20208289,,,,,
38.3,12.066667,10478,0,Grid,,,0.18576083,12500,44376.11007,12500,Urban,1,10478,0,,,,,,,10478,1,0,0,,MICROGRID,,,,Grid,,,0.18576083,12500,,Grid,,,0.220644814,0.220644814,,,,,
37.25,11.616667,18139,0,Grid,,,0.176661796,7500,9596.2698,7500,Urban,1,18139,0,,,,,,,18139,1,0,0,,,,,,Grid,,,0.176661796,7500,,Grid,,,0.203063311,0.203063311,,,,,
37.266667,5.25,9807,0,Grid,,,0.185591494,10000,19205.41564,10000,Urban,1,9807,0,,,,,,,9807,1,0,0,,Diesel,3729647,,,Grid,,,0.185591494,10000,,Grid,,,0.219237109,0.219237109,,,,,
39.516667,9.566667,11722,1,Grid,,,0,2500,4438.724984,0,Urban,0,0,0,,,,,,,11722,1,0,0,,PV,0,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
39.3,10.95,20075,1,Grid,,,0,2500,5438.956372,0,Urban,0,0,0,,,,,,,20075,1,0,0,,WIND,0,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
35.416667,11.5,171,0,StandAlone,PV,,0.447,0.447,98637.49319,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,StandAlone,PV,,0.447,0,,StandAlone,PV,,0.447,0.447,,,,,
35.683333,6.516667,686,0,StandAlone,PV,,0.447,0.447,53808.90914,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,MicroGrid,,Diesel,0.361401801,0,,StandAlone,PV,,0.447,0.447,,,,,
35.966667,9.033333,11915,0,Grid,,,0.182780813,10000,14236.42472,10000,Urban,1,11915,0,,,,,,,11915,1,0,0,,,,,,Grid,,,0.182780813,10000,,Grid,,,0.214730865,0.214730865,,,,,
39.15,10.916667,19611,1,Grid,,,0,2500,8447.489878,0,Urban,0,0,0,,,,,,,19611,1,0,0,,PopulationNewconnections,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
38.4,8.483333,12658,0,Grid,,,0.181073756,7500,14777.18161,7500,Urban,1,12658,0,,,,,,,12658,1,0,0,,GRID,"71,237,860",,,Grid,,,0.181073756,7500,,Grid,,,0.210534723,0.210534723,,,,,
39.5,10.566667,12736,0,Grid,,,0.180133893,5000,33770.32744,5000,Urban,1,12736,0,,,,,,,12736,1,0,0,,MICROGRID,"3,729,647",,,Grid,,,0.180133893,5000,,Grid,,,0.208735761,0.208735761,,,,,
39.366667,11.516667,17542,0,Grid,,,0.177407055,7500,26744.64589,7500,Urban,1,17542,0,,,,,,,17542,1,0,0,,STANDALONE,"1,132,641",,,Grid,,,0.177407055,7500,,Grid,,,0.204039374,0.204039374,,,,,
41.516667,9.1,29571,0,Grid,,,0.176564169,10000,34284.56605,10000,Urban,1,29571,0,,,,,,,29571,1,0,0,,,,,,Grid,,,0.176564169,10000,,Grid,,,0.202064298,0.202064298,,,,,
40.016667,9.916667,18866,0,Grid,,,0.175282055,2500,12293.28372,2500,Urban,1,18866,0,,,,,,,18866,1,0,0,,,,,,Grid,,,0.175282055,2500,,Grid,,,0.199721357,0.199721357,,,,,
42.6,9.533333,6356,0,Grid,,,0.191360709,7500,22664.34618,7500,Urban,1,6356,0,,,,,,,6356,1,0,0,,,,,,Grid,,,0.191360709,7500,,Grid,,,0.232128822,0.232128822,,,,,
38.85,12.366667,7104,0,Grid,,,0.189287698,7500,35105.0014,7500,Urban,1,7104,0,,,,,,,7104,1,0,0,,,,,,Grid,,,0.189287698,7500,,Grid,,,0.226558278,0.226558278,,,,,
38.75,12.166667,8362,0,Grid,,,0.18693452,7500,34487.15356,7500,Urban,1,8362,0,,,,,,,8362,1,0,0,,,,,,Grid,,,0.18693452,7500,,Grid,,,0.221674226,0.221674226,,,,,
37.5,11.666667,18505,1,Grid,,,0,2500,2291.257491,0,Urban,0,0,0,,,,,,,18505,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.416667,11.6,456732,1,Grid,,,0,2500,296.863072,0,Urban,0,0,0,,,,,,,456732,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
35.033333,7.516667,1480,0,StandAlone,Diesel,,0.397876023,1.4225,54208.87435,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,MicroGrid,,Diesel,0.337805955,0,,StandAlone,Diesel,,0.397876023,1.4225,,,,,
35.833333,9.55,439,0,StandAlone,PV,,0.447,0.447,31131.40043,0.447,Rural,1,0,439,,,,,,,0,0,0,0,,,,,,MicroGrid,,Diesel,0.379918741,0,,StandAlone,PV,,0.447,0.447,,,,,
38.971389,14.171667,22831,0,Grid,,,0.17552913,5000,9125.897269,5000,Urban,1,22831,0,,,,,,,22831,1,0,0,,,,,,Grid,,,0.17552913,5000,,Grid,,,0.199994062,0.199994062,,,,,
38.716667,8.75,17517,1,Grid,,,0,2500,7317.183954,0,Urban,0,0,0,,,,,,,17517,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
35.216667,10.6,485,0,StandAlone,PV,,0.447,0.447,83030.89426,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,MicroGrid,,Diesel,0.375426709,0,,StandAlone,PV,,0.447,0.447,,,,,
36.883333,11.433333,14372,0,Grid,,,0.180012513,10000,14142.75357,10000,Urban,1,14372,0,,,,,,,14372,1,0,0,,,,,,Grid,,,0.180012513,10000,,Grid,,,0.208845693,0.208845693,,,,,
39.55,9.516667,11492,0,Grid,,,0.181098971,5000,11137.03359,5000,Urban,1,11492,0,,,,,,,11492,1,0,0,,,,,,Grid,,,0.181098971,5000,,Grid,,,0.210825356,0.210825356,,,,,
36.1,8.4,11763,1,Grid,,,0,2500,334.309893,0,Urban,0,0,0,,,,,,,11763,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
36.45,13.733333,1023,0,StandAlone,PV,,0.447,0.447,61067.69527,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,MicroGrid,,Diesel,0.348010146,0,,StandAlone,PV,,0.447,0.447,,,,,
42.05,9.25,31685,1,Grid,,,0,2500,8342.848509,0,Urban,0,0,0,,,,,,,31685,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
